DBN,School Name,Enrollment,Instruction and Performance - Rating,Teaching Environment - School Percent Positive,Family Involvement - School Percent Positive,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Average Student Attendance,Advising and Planning - School Percent Positive
09X227,Bronx Collegiate Academy,432,Good,0.98,0.74,0.932,0.185,0.85,0.859,0.9
09X231,Eagle Academy for Young Men,319,Fair,0.76,0.87,0.903,0.113,0.831,0.938,0.8
09X241,"Urban Assembly School for Applied Math and Science, The",303,Good,0.89,0.92,,0.119,0.908,0.799,0.87
09X250,Eximius College Preparatory Academy: A College Board School,376,Good,0.88,0.72,0.947,0.181,0.886,0.861,0.88
09X252,Mott Hall Bronx High School,314,Good,0.77,0.87,,0.197,0.911,0.844,0.87
09X260,Bronx Center for Science and Mathematics,383,Excellent,0.81,0.83,0.903,0.146,0.828,0.895,0.89
09X263,Validus Preparatory Academy,283,Needs Improvement,0.58,0.82,,0.23,0.901,0.796,0.85
09X297,Morris Academy for Collaborative Studies,444,Good,0.91,0.94,,0.245,0.872,0.822,0.85
09X324,Bronx Early College Academy for Teaching & Learning,267,Good,0.86,0.84,,0.202,0.903,0.878,0.83
09X327,Comprehensive Model School Project M.S. 327,379,Good,0.87,0.9,0.925,0.153,0.865,0.871,0.86
09X329,DreamYard Preparatory School,290,Good,0.69,0.97,,0.269,0.914,0.871,0.87
09X365,Academy for Language and Technology,354,Excellent,0.88,0.97,,0.718,0.749,0.915,0.97
09X403,Bronx International High School,431,Good,,0.88,,0.385,0.673,0.797,
09X412,Bronx High School of Business,292,Fair,0.72,0.89,,0.277,0.89,0.822,0.8
09X413,Bronx High School for Medical Science,259,Good,0.84,0.9,0.934,0.208,0.884,0.905,0.86
09X505,"Bronx School for Law, Government and Justice",429,Fair,0.72,0.89,0.94,0.154,0.9,0.887,0.89
09X517,Frederick Douglass Academy III Secondary School,229,Good,0.9,0.9,,0.197,0.873,0.901,0.94
09X525,Bronx Leadership Academy High School,370,Fair,0.84,0.8,,0.319,0.905,0.858,0.84
09X543,High School for Violin and Dance,111,Fair,0.79,0.8,,0.333,0.901,0.877,0.82
