DBN,School Name,borough,district,school_indentifier,Latitude,Longitude,geometry
05M304,Mott Hall High School,Manhattan,5,304,40.817228,-73.947151,POINT (-8231759.1949000005 4985420.0995000005)
05M362,Columbia Secondary School,Manhattan,5,362,40.810793,-73.955722,POINT (-8232713.314300001 4984473.6043)
05M369,Urban Assembly School for the Performing Arts,Manhattan,5,369,40.815747,-73.95552,POINT (-8232690.8278 4985202.257700004)
05M499,Frederick Douglass Academy,Manhattan,5,499,40.823988,-73.935746,POINT (-8230489.596100001 4986414.496399999)
05M670,Thurgood Marshall Academy for Learning and Social Change,Manhattan,5,670,40.815237,-73.944299,POINT (-8231441.7117 4985127.242399998)
05M692,"High School for Mathematics, Science and Engineering at City College",Manhattan,5,692,40.820208,-73.950354,POINT (-8232115.7513 4985858.4454)
06M211,Inwood Early College for Health and Information Technologies,Manhattan,6,211,40.865556,-73.925464,POINT (-8229345.009099999 4992531.383699998)
06M293,City College Magnet School of the Arts,Manhattan,6,293,40.860951,-73.930082,POINT (-8229859.0825 4991853.551700003)
06M346,Community Health Academy of the Heights,Manhattan,6,346,40.833695,-73.942074,POINT (-8231194.025900001 4987842.574600004)
06M348,Washington Heights Expeditionary Learning School,Manhattan,6,348,40.849311,-73.930991,POINT (-8229960.272 4990140.4142)
06M462,The College Academy,Manhattan,6,462,40.856532,-73.92606,POINT (-8229411.355599999 4991203.142099999)
06M463,High School for Media and Communications,Manhattan,6,463,40.856532,-73.92606,POINT (-8229411.355599999 4991203.142099999)
06M467,High School for Law and Public Service,Manhattan,6,467,40.856532,-73.92606,POINT (-8229411.355599999 4991203.142099999)
06M468,High School for Health Careers and Sciences,Manhattan,6,468,40.856532,-73.92606,POINT (-8229411.355599999 4991203.142099999)
06M540,A. Philip Randolph Campus High School,Manhattan,6,540,40.8185,-73.949929,POINT (-8232068.4405000005 4985607.203100003)
06M552,Gregorio Luperon High School for Science and Mathematics,Manhattan,6,552,40.8381,-73.9383,POINT (-8230773.906099999 4988490.700099997)
07X221,South Bronx Preparatory: A College Board School,Bronx,7,221,40.813612,-73.920851,POINT (-8228831.4923 4984888.226999998)
07X223,The Laboratory School of Finance and Technology: X223,Bronx,7,223,40.813612,-73.920851,POINT (-8228831.4923 4984888.226999998)
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",Bronx,7,259,40.810671,-73.907528,POINT (-8227348.3827 4984455.6608000025)
07X334,International Community High School,Bronx,7,334,40.810314,-73.918774,POINT (-8228600.2817 4984403.153999999)
07X427,Community School for Social Justice,Bronx,7,427,40.815712,-73.92996,POINT (-8229845.501599999 4985197.1096)
07X473,Mott Haven Village Preparatory High School,Bronx,7,473,40.818041,-73.911633,POINT (-8227805.349300001 4985539.686499998)
07X495,University Heights Secondary School,Bronx,7,495,40.818041,-73.911633,POINT (-8227805.349300001 4985539.686499998)
07X500,Hostos-Lincoln Academy of Science,Bronx,7,500,40.814857,-73.912038,POINT (-8227850.433700001 4985071.349100001)
07X522,Bronx Design and Construction Academy,Bronx,7,522,40.818645,-73.919949,POINT (-8228731.0821 4985628.531999998)
07X527,Bronx Leadership Academy II High School,Bronx,7,527,40.821828,-73.922366,POINT (-8229000.1414 4986096.7491)
07X548,Careers in Sports High School,Bronx,7,548,40.821828,-73.922366,POINT (-8229000.1414 4986096.7491)
07X551,The Urban Assembly Bronx Academy of Letters,Bronx,7,551,40.813681,-73.925995,POINT (-8229404.1197999995 4984898.3759)
07X600,Alfred E. Smith Career and Technical Education High School,Bronx,7,600,40.818645,-73.919949,POINT (-8228731.0821 4985628.531999998)
07X625,Bronx Legacy High School,Bronx,7,625,40.821828,-73.922366,POINT (-8229000.1414 4986096.7491)
07X670,Health Opportunities High School,Bronx,7,670,40.815712,-73.92996,POINT (-8229845.501599999 4985197.1096)
08X269,Bronx Studio School for Writers and Artists,Bronx,8,269,40.820388,-73.892961,POINT (-8225726.7917 4985884.923299998)
