DBN,School Name,Enrollment,Instruction and Performance - Rating,Teaching Environment - School Percent Positive,Family Involvement - School Percent Positive,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Average Student Attendance,Advising and Planning - School Percent Positive,N count - Postsecondary Enrollment Rate - 6 Months,Metric Value - Postsecondary Enrollment Rate - 6 Months,N count - 4-Year High School Persistence Rate,Metric Value - 4-Year High School Persistence Rate,Metric Value - 4-Year Graduation Rate - All Students,N count - 4-Year Graduation Rate - All Students,Metric Value - 4-Year College and Career Readiness - All Students,readiness_gap,Student Support - School Percent Positive
05M499,Frederick Douglass Academy,503,Fair,0.68,,0.904,0.167,0.845,0.902,0.85,114,0.675,121,0.926,0.876,121,43.2,-42.324,71%
05M670,Thurgood Marshall Academy for Learning and Social Change,291,Fair,0.89,0.89,0.925,0.131,0.866,0.838,0.83,75,0.187,71,0.901,0.859,71,42.2,-41.341,73%
05M692,"High School for Mathematics, Science and Engineering at City College",576,Excellent,0.83,0.76,0.385,0.031,0.3,0.957,0.9,142,0.873,152,1,1,152,96.1,-95.1,80%
06M211,Inwood Early College for Health and Information Technologies,377,Fair,0.7,0.88,0.896,0.164,0.849,0.877,0.88,82,0.707,76,0.934,0.829,76,43.2,-42.371,72%
06M293,City College Magnet School of the Arts,340,Excellent,,0.83,0.877,0.144,0.812,0.887,,79,0.949,84,0.976,0.952,84,61.2,-60.248,
06M346,Community Health Academy of the Heights,348,Good,0.96,0.97,0.929,0.19,0.845,0.86,0.94,84,0.417,91,0.901,0.824,91,48.6,-47.776,83%
06M348,Washington Heights Expeditionary Learning School,405,Good,0.73,0.94,0.899,0.128,0.844,0.848,0.88,122,0.746,100,0.91,0.86,100,46.3,-45.44,80%
06M462,The College Academy,350,Excellent,0.94,0.86,,0.366,0.811,0.859,0.9,72,0.681,58,1,0.948,58,51,-50.052,80%
06M463,High School for Media and Communications,363,Good,0.85,0.89,,0.496,0.791,0.802,0.87,73,0.479,93,0.946,0.903,93,42.6,-41.697,75%
06M467,High School for Law and Public Service,502,Fair,0.83,1,,0.556,0.711,0.826,0.9,93,0.731,95,0.979,0.937,95,42.6,-41.663,81%
06M468,High School for Health Careers and Sciences,425,Fair,0.77,0.99,0.947,0.369,0.793,0.846,0.87,76,0.711,93,0.968,0.935,93,41.2,-40.265,77%
06M540,A. Philip Randolph Campus High School,1408,Fair,,0.72,0.914,0.222,0.833,0.818,,318,0.506,313,0.856,0.773,313,42.6,-41.827,
06M552,Gregorio Luperon High School for Science and Mathematics,662,Excellent,0.93,0.91,,0.406,0.737,0.886,0.91,157,0.471,167,0.952,0.904,167,49.1,-48.196,83%
07X221,South Bronx Preparatory: A College Board School,369,Good,0.83,0.81,,0.168,0.905,0.907,0.88,83,0.651,94,0.979,0.968,94,49.6,-48.632,76%
07X223,The Laboratory School of Finance and Technology: X223,387,Excellent,0.91,0.89,0.935,0.155,0.879,0.903,0.92,87,0.759,87,0.989,0.977,87,66.9,-65.923,80%
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",727,Fair,0.88,0.86,0.95,0.231,0.909,0.803,0.91,96,0.646,125,0.92,0.864,125,46.3,-45.436,77%
07X334,International Community High School,357,Good,0.91,0.8,,0.529,0.672,0.834,0.93,72,0.431,89,0.854,0.753,89,45.6,-44.847,82%
07X427,Community School for Social Justice,187,Fair,0.96,0.86,0.945,0.273,0.861,0.801,0.94,40,0.7,48,0.854,0.771,48,31.2,-30.429,87%
07X473,Mott Haven Village Preparatory High School,193,Fair,0.85,0.89,,0.228,,0.827,0.87,38,0.447,49,0.796,0.694,49,32.8,-32.106,72%
07X495,University Heights Secondary School,595,Excellent,0.98,0.96,0.852,0.126,0.77,0.918,0.93,139,0.885,137,1,1,137,75.1,-74.1,83%
07X500,Hostos-Lincoln Academy of Science,305,Good,0.86,0.81,0.916,0.157,0.859,0.839,0.91,65,0.708,76,0.974,0.908,76,66.5,-65.592,74%
07X522,Bronx Design and Construction Academy,222,Fair,0.85,0.85,0.93,0.23,0.896,0.875,0.88,41,0.415,34,0.971,0.971,34,45.8,-44.829,74%
07X527,Bronx Leadership Academy II High School,375,Fair,0.79,0.91,,0.253,0.891,0.833,0.92,99,0.788,105,0.895,0.848,105,40,-39.152,78%
07X548,Careers in Sports High School,453,Fair,0.93,0.8,,0.223,0.916,0.82,0.9,121,0.388,93,0.763,0.688,93,23.8,-23.112,78%
07X551,The Urban Assembly Bronx Academy of Letters,296,Fair,0.88,0.89,,0.209,,0.796,0.85,79,0.481,79,0.911,0.848,79,39.9,-39.052,73%
07X600,Alfred E. Smith Career and Technical Education High School,413,Good,0.78,0.93,0.944,0.223,0.877,0.817,0.88,96,0.417,82,0.902,0.854,82,43.7,-42.846,74%
07X625,Bronx Legacy High School,258,Fair,0.63,0.82,0.937,0.252,0.876,0.807,0.85,55,0.764,50,0.9,0.74,50,46.5,-45.76,73%
