Primary_Key,DBN,Subgroup,n_count_ccr,ccr_rate,n_count_graduation_rate,graduation_rate,n_count_hs_persistence_rate,hs_persistence_rate,n_count_90pct_attendance,90pct_attendance_rate,n_count_enrollment,enrollment_rate,readiness_gap
01M292_Asian,01M292,Asian,19,0.00842,19,1.0,19,1.0,38,0.763,10,,0.15799999999999992
01M292_Black,01M292,Black,9,,9,,9,,58,0.379,18,0.556,
01M292_Hispanic or Latinx,01M292,Hispanic,27,0.004,27,0.889,27,0.889,153,0.412,44,0.705,0.489
01M292_White,01M292,White,2,,2,,2,,,,1,,
01M448_Asian,01M448,Asian,35,0.00887,35,1.0,35,1.0,154,0.844,36,0.944,0.11299999999999999
01M448_Black,01M448,Black,17,0.00664,17,1.0,17,1.0,61,0.639,24,0.75,0.33599999999999997
01M448_Hispanic or Latinx,01M448,Hispanic,51,0.00722,51,1.0,51,1.0,202,0.683,58,0.793,0.278
01M448_White,01M448,White,5,,5,,5,,,,6,,
01M450_Asian,01M450,Asian,10,,10,,10,,27,0.889,6,,
01M450_Black,01M450,Black,14,,14,,14,,59,0.763,12,,
01M450_Hispanic or Latinx,01M450,Hispanic,46,0.006459999999999999,46,0.978,46,0.978,206,0.767,54,0.852,0.3320000000000001
01M450_White,01M450,White,15,0.00837,15,1.0,15,1.0,,,20,1.0,0.16299999999999992
01M539_Asian,01M539,Asian,32,0.00968,32,1.0,32,1.0,187,0.877,39,1.0,0.03200000000000003
01M539_Black,01M539,Black,5,,5,,5,,38,0.737,11,,
01M539_Hispanic or Latinx,01M539,Hispanic,17,0.00862,17,1.0,17,1.0,88,0.795,26,0.885,0.138
01M539_White,01M539,White,51,0.0095,51,0.98,51,1.0,,,66,0.924,0.030000000000000027
01M696_Asian,01M696,Asian,21,0.00862,21,0.905,21,0.952,116,0.733,24,0.833,0.04300000000000004
01M696_Black,01M696,Black,33,0.00828,33,0.97,33,1.0,88,0.545,16,0.938,0.14200000000000002
01M696_Hispanic or Latinx,01M696,Hispanic,33,0.008329999999999999,33,1.0,33,1.0,138,0.696,26,0.769,0.16700000000000004
01M696_White,01M696,White,37,0.009059999999999999,37,0.973,37,1.0,,,58,0.672,0.06700000000000006
02M047_Asian,02M047,Asian,,,,,,,7,,,,
02M047_Black,02M047,Black,4,,4,,4,,23,0.478,5,,
02M047_Hispanic or Latinx,02M047,Hispanic,40,0.00631,40,1.0,40,1.0,110,0.5,34,0.882,0.369
02M047_White,02M047,White,2,,2,,2,,,,1,,
02M135_Asian,02M135,Asian,1,,1,,1,,9,,1,,
02M135_Black,02M135,Black,26,0.00439,26,0.962,26,1.0,138,0.543,22,0.818,0.5229999999999999
02M135_Hispanic or Latinx,02M135,Hispanic,34,0.005660000000000001,34,0.971,34,0.971,208,0.514,27,0.444,0.4049999999999999
02M135_White,02M135,White,2,,2,,2,,,,4,,
02M139_Asian,02M139,Asian,3,,3,,3,,12,,,,
02M139_Black,02M139,Black,26,0.004220000000000001,26,0.731,26,0.808,93,0.473,20,0.45,0.30899999999999994
02M139_Hispanic or Latinx,02M139,Hispanic,54,0.005410000000000001,54,0.889,54,0.907,239,0.473,50,0.44,0.348
02M139_White,02M139,White,4,,4,,4,,,,2,,
02M260_Asian,02M260,Asian,21,0.00887,21,1.0,21,1.0,71,0.887,10,,0.11299999999999999
02M260_Black,02M260,Black,,,,,,,20,0.7,5,,
02M260_Hispanic or Latinx,02M260,Hispanic,17,0.00847,17,1.0,17,1.0,71,0.817,22,0.818,0.15300000000000002
02M260_White,02M260,White,63,0.009250000000000001,63,0.984,63,1.0,,,81,0.951,0.05899999999999994
02M280_Asian,02M280,Asian,11,,11,,11,,33,0.758,8,,
02M280_Black,02M280,Black,27,0.005620000000000001,27,0.852,27,0.852,107,0.579,20,0.65,0.2899999999999999
02M280_Hispanic or Latinx,02M280,Hispanic,49,0.0055899999999999995,49,0.939,49,0.939,240,0.5,47,0.574,0.38
02M280_White,02M280,White,2,,2,,2,,,,6,,
02M282_Asian,02M282,Asian,12,,12,,12,,41,0.634,6,,
02M282_Black,02M282,Black,41,0.00384,41,0.927,41,0.951,144,0.431,39,0.744,0.543
02M282_Hispanic or Latinx,02M282,Hispanic,60,0.00523,60,0.983,60,0.983,272,0.533,67,0.642,0.45999999999999996
02M282_White,02M282,White,13,,13,,13,,,,11,,
02M288_Asian,02M288,Asian,3,,3,,3,,11,,2,,
02M288_Black,02M288,Black,35,0.0053,35,0.943,35,0.971,155,0.529,35,0.629,0.4129999999999999
02M288_Hispanic or Latinx,02M288,Hispanic,50,0.00451,50,0.92,50,0.94,303,0.538,50,0.7,0.46900000000000003
02M288_White,02M288,White,5,,5,,5,,,,2,,
02M294_Asian,02M294,Asian,1,,1,,1,,22,0.818,8,,
02M294_Black,02M294,Black,16,0.004320000000000001,16,1.0,16,1.0,68,0.559,20,0.7,0.568
02M294_Hispanic or Latinx,02M294,Hispanic,30,0.004379999999999999,30,0.9,30,0.933,133,0.496,41,0.756,0.4620000000000001
02M294_White,02M294,White,31,0.0067599999999999995,31,0.968,31,0.968,,,17,1.0,0.29200000000000004
02M296_Asian,02M296,Asian,1,,1,,1,,6,,4,,
02M296_Black,02M296,Black,7,,7,,7,,45,0.356,10,,
02M296_Hispanic or Latinx,02M296,Hispanic,30,0.00563,30,0.767,30,0.9,166,0.271,42,0.595,0.20400000000000007
02M296_White,02M296,White,,,,,,,,,1,,
02M298_Asian,02M298,Asian,15,0.00733,15,0.8,15,0.8,44,0.614,18,0.889,0.06700000000000006
02M298_Black,02M298,Black,41,0.0040999999999999995,41,0.707,41,0.902,175,0.337,40,0.625,0.297
02M298_Hispanic or Latinx,02M298,Hispanic,65,0.00428,65,0.785,65,0.892,276,0.428,75,0.64,0.35700000000000004
02M298_White,02M298,White,9,,9,,9,,,,10,,
02M300_Asian,02M300,Asian,,,,,,,1,,,,
02M300_Black,02M300,Black,20,0.0034600000000000004,20,0.75,20,0.8,52,0.385,13,,0.40399999999999997
02M300_Hispanic or Latinx,02M300,Hispanic,35,0.00421,35,0.914,35,0.971,157,0.439,48,0.542,0.493
02M300_White,02M300,White,1,,1,,1,,,,6,,
02M303_Asian,02M303,Asian,3,,3,,3,,4,,1,,
02M303_Black,02M303,Black,19,0.0037799999999999995,19,0.842,19,0.842,58,0.379,24,0.708,0.464
02M303_Hispanic or Latinx,02M303,Hispanic,62,0.00427,62,0.903,62,0.935,211,0.318,58,0.759,0.476
02M303_White,02M303,White,2,,2,,2,,,,1,,
02M305_Asian,02M305,Asian,10,,10,,10,,29,0.793,7,,
02M305_Black,02M305,Black,20,0.00384,20,0.85,20,0.85,79,0.342,29,0.621,0.46599999999999997
02M305_Hispanic or Latinx,02M305,Hispanic,31,0.0054600000000000004,31,0.806,31,0.839,136,0.507,27,0.667,0.26
02M305_White,02M305,White,1,,1,,1,,,,1,,
02M308_Asian,02M308,Asian,7,,7,,7,,17,0.647,9,,
02M308_Black,02M308,Black,15,0.00446,15,0.867,15,0.867,85,0.365,29,0.448,0.421
02M308_Hispanic or Latinx,02M308,Hispanic,50,0.00415,50,0.76,50,0.86,159,0.384,34,0.618,0.34500000000000003
02M308_White,02M308,White,2,,2,,2,,,,3,,
02M316_Asian,02M316,Asian,1,,1,,1,,4,,1,,
02M316_Black,02M316,Black,10,,10,,10,,36,0.139,6,,
02M316_Hispanic or Latinx,02M316,Hispanic,13,,13,,13,,84,0.143,7,,
02M316_White,02M316,White,3,,3,,3,,,,,,
02M374_Asian,02M374,Asian,4,,4,,4,,22,0.818,7,,
02M374_Black,02M374,Black,31,0.00524,31,0.968,31,0.968,110,0.536,31,0.806,0.44399999999999995
02M374_Hispanic or Latinx,02M374,Hispanic,59,0.005579999999999999,59,1.0,59,1.0,221,0.584,61,0.754,0.44200000000000006
02M374_White,02M374,White,15,0.00779,15,0.933,15,0.933,,,7,,0.15400000000000003
02M376_Asian,02M376,Asian,11,,11,,11,,36,0.722,12,,
02M376_Black,02M376,Black,19,0.00701,19,1.0,19,1.0,55,0.727,19,0.895,0.29900000000000004
02M376_Hispanic or Latinx,02M376,Hispanic,37,0.0076300000000000005,37,0.946,37,1.0,173,0.642,33,0.818,0.18299999999999994
02M376_White,02M376,White,31,0.008029999999999999,31,1.0,31,1.0,,,52,0.865,0.19700000000000006
02M392_Asian,02M392,Asian,7,,7,,7,,26,0.808,4,,
02M392_Black,02M392,Black,24,0.0046500000000000005,24,0.958,24,1.0,116,0.405,24,0.625,0.49299999999999994
02M392_Hispanic or Latinx,02M392,Hispanic,50,0.005520000000000001,50,0.98,50,0.98,282,0.521,60,0.7,0.42799999999999994
02M392_White,02M392,White,7,,7,,7,,,,3,,
02M393_Asian,02M393,Asian,3,,3,,3,,10,,,,
02M393_Black,02M393,Black,29,0.0035700000000000003,29,0.759,29,0.897,123,0.439,39,0.59,0.40199999999999997
02M393_Hispanic or Latinx,02M393,Hispanic,56,0.00387,56,0.804,56,0.875,267,0.457,61,0.59,0.41700000000000004
02M393_White,02M393,White,2,,2,,2,,,,1,,
02M395_Asian,02M395,Asian,,,,,,,12,,,,
02M395_Black,02M395,Black,,,,,,,72,0.361,,,
02M395_Hispanic or Latinx,02M395,Hispanic,2,,2,,2,,85,0.329,,,
02M395_White,02M395,White,,,,,,,,,,,
02M399_Asian,02M399,Asian,,,,,,,7,,4,,
02M399_Black,02M399,Black,6,,6,,6,,28,0.25,14,,
02M399_Hispanic or Latinx,02M399,Hispanic,18,0.0040100000000000005,18,0.833,18,0.889,103,0.34,22,0.636,0.43199999999999994
02M399_White,02M399,White,2,,2,,2,,,,2,,
02M400_Asian,02M400,Asian,34,0.008159999999999999,34,0.971,34,0.971,119,0.706,45,0.933,0.15500000000000003
02M400_Black,02M400,Black,38,0.00511,38,0.895,38,0.974,143,0.51,37,0.73,0.384
02M400_Hispanic or Latinx,02M400,Hispanic,114,0.0051600000000000005,114,0.895,114,0.956,574,0.507,171,0.836,0.379
02M400_White,02M400,White,40,0.007940000000000001,40,0.95,40,0.95,,,35,0.686,0.15599999999999992
02M407_Asian,02M407,Asian,6,,6,,6,,13,,9,,
02M407_Black,02M407,Black,19,0.00645,19,1.0,19,1.0,52,0.577,22,0.727,0.355
02M407_Hispanic or Latinx,02M407,Hispanic,13,,13,,13,,60,0.717,15,0.733,
02M407_White,02M407,White,25,0.00796,25,1.0,25,1.0,,,33,0.848,0.20400000000000007
02M408_Asian,02M408,Asian,8,,8,,8,,22,0.727,5,,
02M408_Black,02M408,Black,27,0.00569,27,1.0,27,1.0,101,0.604,18,0.778,0.43100000000000005
02M408_Hispanic or Latinx,02M408,Hispanic,36,0.00635,36,1.0,36,1.0,146,0.719,32,0.813,0.365
02M408_White,02M408,White,41,0.00777,41,1.0,41,1.0,,,55,0.691,0.22299999999999998
02M411_Asian,02M411,Asian,40,0.00893,40,1.0,40,1.0,143,0.839,40,0.975,0.10699999999999998
02M411_Black,02M411,Black,16,0.007190000000000001,16,1.0,16,1.0,48,0.771,6,,0.2809999999999999
02M411_Hispanic or Latinx,02M411,Hispanic,40,0.00775,40,1.0,40,1.0,163,0.761,20,0.85,0.22499999999999998
02M411_White,02M411,White,24,0.008440000000000001,24,1.0,24,1.0,,,52,0.962,0.15599999999999992
02M412_Asian,02M412,Asian,40,0.00927,40,1.0,40,1.0,115,0.904,28,0.964,0.07299999999999995
02M412_Black,02M412,Black,6,,6,,6,,30,0.833,5,,
02M412_Hispanic or Latinx,02M412,Hispanic,20,0.007859999999999999,20,1.0,20,1.0,99,0.798,7,,0.21400000000000008
02M412_White,02M412,White,43,0.009179999999999999,43,1.0,43,1.0,,,55,0.836,0.08200000000000007
02M413_Asian,02M413,Asian,29,0.00812,29,0.966,29,0.966,75,0.76,17,0.824,0.15399999999999991
02M413_Black,02M413,Black,16,0.00637,16,1.0,16,1.0,50,0.62,17,0.824,0.363
02M413_Hispanic or Latinx,02M413,Hispanic,18,0.0072299999999999994,18,1.0,18,1.0,102,0.618,19,0.895,0.277
02M413_White,02M413,White,34,0.0077,34,1.0,34,1.0,,,44,0.705,0.22999999999999998
02M414_Asian,02M414,Asian,36,0.00902,36,1.0,36,1.0,93,0.892,20,0.95,0.09799999999999998
02M414_Black,02M414,Black,11,,11,,11,,36,0.778,12,,
02M414_Hispanic or Latinx,02M414,Hispanic,39,0.0072,39,1.0,39,1.0,146,0.781,17,0.824,0.28
02M414_White,02M414,White,36,0.00872,36,1.0,36,1.0,,,64,0.875,0.128
02M416_Asian,02M416,Asian,31,0.00915,31,0.968,31,0.968,119,0.874,31,0.839,0.052999999999999936
02M416_Black,02M416,Black,15,0.008440000000000001,15,1.0,15,1.0,44,0.909,1,,0.15599999999999992
02M416_Hispanic or Latinx,02M416,Hispanic,39,0.00825,39,1.0,39,1.0,152,0.789,15,0.867,0.17500000000000004
02M416_White,02M416,White,44,0.0091,44,1.0,44,1.0,,,84,0.821,0.08999999999999997
02M418_Asian,02M418,Asian,48,0.00922,48,1.0,48,1.0,260,0.912,101,0.911,0.07799999999999996
02M418_Black,02M418,Black,6,,6,,6,,42,0.786,5,,
02M418_Hispanic or Latinx,02M418,Hispanic,20,0.00873,20,1.0,20,1.0,119,0.824,24,0.917,0.127
02M418_White,02M418,White,61,0.00945,61,1.0,61,1.0,,,40,0.8,0.05500000000000005
02M419_Asian,02M419,Asian,2,,2,,2,,4,,2,,
02M419_Black,02M419,Black,20,0.00485,20,0.95,20,0.95,70,0.243,23,0.652,0.46499999999999997
02M419_Hispanic or Latinx,02M419,Hispanic,42,0.00435,42,0.833,42,0.881,202,0.327,55,0.6,0.39799999999999996
02M419_White,02M419,White,4,,4,,4,,,,5,,
02M420_Asian,02M420,Asian,74,0.0078000000000000005,74,0.946,74,0.959,332,0.762,77,0.961,0.16599999999999993
02M420_Black,02M420,Black,37,0.00609,37,0.865,37,0.892,263,0.65,51,0.784,0.256
02M420_Hispanic or Latinx,02M420,Hispanic,177,0.00642,177,0.955,177,0.966,942,0.69,206,0.777,0.31299999999999994
02M420_White,02M420,White,33,0.0076300000000000005,33,0.97,33,0.97,,,27,0.889,0.20699999999999996
02M422_Asian,02M422,Asian,8,,8,,8,,14,,2,,
02M422_Black,02M422,Black,7,,7,,7,,49,0.429,13,,
02M422_Hispanic or Latinx,02M422,Hispanic,22,0.00464,22,0.909,22,0.955,115,0.339,31,0.484,0.44500000000000006
02M422_White,02M422,White,14,,14,,14,,,,3,,
02M425_Asian,02M425,Asian,11,,11,,11,,23,0.348,2,,
02M425_Black,02M425,Black,23,0.0045000000000000005,23,0.87,23,0.913,70,0.214,9,,0.42
02M425_Hispanic or Latinx,02M425,Hispanic,45,0.00484,45,0.822,45,0.956,190,0.358,44,0.682,0.33799999999999997
02M425_White,02M425,White,2,,2,,2,,,,1,,
02M427_Asian,02M427,Asian,1,,1,,1,,1,,,,
02M427_Black,02M427,Black,2,,2,,2,,19,0.526,2,,
02M427_Hispanic or Latinx,02M427,Hispanic,58,0.00373,58,0.707,58,0.828,298,0.245,30,0.733,0.33399999999999996
02M427_White,02M427,White,1,,1,,1,,,,,,
02M432_Asian,02M432,Asian,9,,9,,9,,48,0.604,7,,
02M432_Black,02M432,Black,13,,13,,13,,69,0.493,19,0.526,
02M432_Hispanic or Latinx,02M432,Hispanic,27,0.00607,27,0.889,27,0.963,160,0.45,22,0.818,0.28200000000000003
02M432_White,02M432,White,1,,1,,1,,,,9,,
02M437_Asian,02M437,Asian,2,,2,,2,,7,,5,,
02M437_Black,02M437,Black,18,0.00251,18,0.667,18,0.833,53,0.358,8,,0.41600000000000004
02M437_Hispanic or Latinx,02M437,Hispanic,33,0.0046,33,0.909,33,0.97,133,0.451,32,0.5,0.449
02M437_White,02M437,White,4,,4,,4,,,,2,,
02M438_Asian,02M438,Asian,4,,4,,4,,22,0.773,4,,
02M438_Black,02M438,Black,11,,11,,11,,62,0.452,12,,
02M438_Hispanic or Latinx,02M438,Hispanic,69,0.00468,69,0.87,69,0.87,282,0.525,51,0.49,0.402
02M438_White,02M438,White,9,,9,,9,,,,1,,
02M439_Asian,02M439,Asian,23,0.00933,23,1.0,23,1.0,64,0.922,20,0.75,0.06700000000000006
02M439_Black,02M439,Black,18,0.00837,18,1.0,18,1.0,53,0.811,18,0.944,0.16299999999999992
02M439_Hispanic or Latinx,02M439,Hispanic,50,0.007890000000000001,50,0.98,50,1.0,206,0.777,63,0.905,0.19099999999999995
02M439_White,02M439,White,21,0.00886,21,0.952,21,1.0,,,15,0.867,0.06600000000000006
02M449_Asian,02M449,Asian,3,,3,,3,,12,,1,,
02M449_Black,02M449,Black,28,0.00513,28,0.857,28,0.893,114,0.289,26,0.769,0.344
02M449_Hispanic or Latinx,02M449,Hispanic,68,0.00519,68,0.882,68,0.926,247,0.344,71,0.789,0.363
02M449_White,02M449,White,11,,11,,11,,,,7,,
02M459_Asian,02M459,Asian,7,,7,,7,,22,0.636,9,,
02M459_Black,02M459,Black,13,,13,,13,,51,0.667,19,0.368,
02M459_Hispanic or Latinx,02M459,Hispanic,58,0.00468,58,0.81,58,0.879,270,0.43,44,0.455,0.3420000000000001
02M459_White,02M459,White,13,,13,,13,,,,9,,
02M475_Asian,02M475,Asian,567,0.00971,567,0.998,567,1.0,2328,0.933,584,0.967,0.027000000000000024
02M475_Black,02M475,Black,14,,14,,14,,66,0.788,23,0.913,
02M475_Hispanic or Latinx,02M475,Hispanic,28,0.00951,28,0.964,28,0.964,142,0.873,30,0.967,0.013000000000000012
02M475_White,02M475,White,140,0.00979,140,1.0,140,1.0,,,120,0.958,0.020999999999999908
02M489_Asian,02M489,Asian,38,0.008140000000000001,38,1.0,38,1.0,121,0.893,41,0.854,0.18599999999999994
02M489_Black,02M489,Black,30,0.00628,30,0.9,30,0.933,120,0.733,27,0.778,0.272
02M489_Hispanic or Latinx,02M489,Hispanic,83,0.00636,83,0.94,83,0.952,344,0.767,78,0.654,0.30399999999999994
02M489_White,02M489,White,14,,14,,14,,,,11,,
02M500_Asian,02M500,Asian,8,,8,,8,,28,0.786,7,,
02M500_Black,02M500,Black,8,,8,,8,,40,0.425,14,,
02M500_Hispanic or Latinx,02M500,Hispanic,37,0.00486,37,1.0,37,1.0,171,0.503,55,0.673,0.514
02M500_White,02M500,White,5,,5,,5,,,,2,,
02M507_Asian,02M507,Asian,3,,3,,3,,29,0.897,3,,
02M507_Black,02M507,Black,21,0.006840000000000001,21,1.0,21,1.0,80,0.725,26,0.846,0.31599999999999995
02M507_Hispanic or Latinx,02M507,Hispanic,58,0.00663,58,0.983,58,0.983,250,0.632,54,0.611,0.32000000000000006
02M507_White,02M507,White,11,,11,,11,,,,10,,
02M519_Asian,02M519,Asian,7,,7,,7,,22,0.818,2,,
02M519_Black,02M519,Black,18,0.00594,18,0.944,18,1.0,88,0.568,24,0.792,0.35
02M519_Hispanic or Latinx,02M519,Hispanic,53,0.0066099999999999996,53,0.962,53,0.981,266,0.594,57,0.86,0.30100000000000005
02M519_White,02M519,White,10,,10,,10,,,,13,,
02M520_Asian,02M520,Asian,,,,,,,4,,4,,
02M520_Black,02M520,Black,12,,12,,12,,58,0.224,25,0.52,
02M520_Hispanic or Latinx,02M520,Hispanic,16,0.0037200000000000006,16,0.688,16,0.813,72,0.236,7,,0.3159999999999999
02M520_White,02M520,White,,,,,,,,,1,,
02M529_Asian,02M529,Asian,1,,1,,1,,8,,3,,
02M529_Black,02M529,Black,16,0.00458,16,0.813,16,0.938,74,0.351,10,,0.355
02M529_Hispanic or Latinx,02M529,Hispanic,48,0.0055000000000000005,48,0.896,48,0.938,228,0.439,27,0.481,0.346
02M529_White,02M529,White,5,,5,,5,,,,3,,
02M531_Asian,02M531,Asian,3,,3,,3,,4,,,,
02M531_Black,02M531,Black,22,0.00607,22,1.0,22,1.0,50,0.66,13,,0.393
02M531_Hispanic or Latinx,02M531,Hispanic,25,0.00624,25,1.0,25,1.0,94,0.574,32,0.844,0.376
02M531_White,02M531,White,6,,6,,6,,,,11,,
02M533_Asian,02M533,Asian,17,0.00775,17,1.0,17,1.0,75,0.853,7,,0.22499999999999998
02M533_Black,02M533,Black,14,,14,,14,,81,0.79,20,0.85,
02M533_Hispanic or Latinx,02M533,Hispanic,52,0.00635,52,0.942,52,1.0,306,0.824,56,0.804,0.30699999999999994
02M533_White,02M533,White,7,,7,,7,,,,7,,
02M534_Asian,02M534,Asian,1,,1,,1,,19,0.579,10,,
02M534_Black,02M534,Black,18,0.0054600000000000004,18,0.833,18,0.944,93,0.527,27,0.593,0.2869999999999999
02M534_Hispanic or Latinx,02M534,Hispanic,53,0.0047799999999999995,53,0.83,53,0.962,200,0.445,60,0.6,0.352
02M534_White,02M534,White,16,0.00795,16,1.0,16,1.0,,,11,,0.20499999999999996
02M542_Asian,02M542,Asian,,,,,,,,,,,
02M542_Black,02M542,Black,1,,1,,1,,1,,,,
02M542_Hispanic or Latinx,02M542,Hispanic,110,0.00617,110,0.945,110,0.964,403,0.779,104,0.731,0.32799999999999996
02M542_White,02M542,White,,,,,,,,,,,
02M543_Asian,02M543,Asian,5,,5,,5,,24,0.792,10,,
02M543_Black,02M543,Black,27,0.00384,27,0.889,27,0.889,126,0.373,36,0.694,0.505
02M543_Hispanic or Latinx,02M543,Hispanic,62,0.00454,62,1.0,62,1.0,273,0.454,70,0.729,0.546
02M543_White,02M543,White,7,,7,,7,,,,1,,
02M545_Asian,02M545,Asian,76,0.008640000000000002,76,1.0,76,1.0,348,0.948,83,0.94,0.1359999999999999
02M545_Black,02M545,Black,,,,,,,3,,1,,
02M545_Hispanic or Latinx,02M545,Hispanic,1,,1,,1,,6,,2,,
02M545_White,02M545,White,2,,2,,2,,,,4,,
02M546_Asian,02M546,Asian,16,0.00579,16,1.0,16,1.0,69,0.594,8,,0.42100000000000004
02M546_Black,02M546,Black,24,0.004320000000000001,24,0.917,24,0.958,113,0.469,32,0.625,0.485
02M546_Hispanic or Latinx,02M546,Hispanic,45,0.004710000000000001,45,0.911,45,0.933,226,0.482,39,0.641,0.44
02M546_White,02M546,White,5,,5,,5,,,,4,,
02M551_Asian,02M551,Asian,11,,11,,11,,27,0.778,4,,
02M551_Black,02M551,Black,21,0.00561,21,0.952,21,0.952,85,0.6,23,0.609,0.3909999999999999
02M551_Hispanic or Latinx,02M551,Hispanic,52,0.004920000000000001,52,0.923,52,0.942,219,0.63,43,0.442,0.431
02M551_White,02M551,White,30,0.00809,30,1.0,30,1.0,,,35,0.857,0.19099999999999995
02M580_Asian,02M580,Asian,17,0.007440000000000001,17,1.0,17,1.0,45,0.711,7,,0.2559999999999999
02M580_Black,02M580,Black,23,0.0033799999999999998,23,0.826,23,0.87,68,0.368,20,0.8,0.488
02M580_Hispanic or Latinx,02M580,Hispanic,41,0.00513,41,0.927,41,0.927,165,0.533,31,0.452,0.41400000000000003
02M580_White,02M580,White,21,0.00886,21,1.0,21,1.0,,,5,,0.1140000000000001
02M600_Asian,02M600,Asian,12,,12,,12,,58,0.776,13,,
02M600_Black,02M600,Black,113,0.00579,113,0.929,113,0.947,418,0.608,108,0.815,0.3500000000000001
02M600_Hispanic or Latinx,02M600,Hispanic,199,0.00611,199,0.935,199,0.965,866,0.611,225,0.791,0.32400000000000007
02M600_White,02M600,White,21,0.008,21,1.0,21,1.0,,,18,0.722,0.19999999999999996
02M605_Asian,02M605,Asian,5,,5,,5,,22,0.682,3,,
02M605_Black,02M605,Black,9,,9,,9,,40,0.75,9,,
02M605_Hispanic or Latinx,02M605,Hispanic,49,0.00449,49,0.857,49,0.857,154,0.578,22,0.818,0.408
02M605_White,02M605,White,13,,13,,13,,,,12,,
02M615_Asian,02M615,Asian,20,0.00867,20,1.0,20,1.0,41,0.537,13,,0.133
02M615_Black,02M615,Black,18,0.004699999999999999,18,0.778,18,0.944,105,0.362,21,0.571,0.30800000000000005
02M615_Hispanic or Latinx,02M615,Hispanic,42,0.0045000000000000005,42,0.857,42,0.881,219,0.507,62,0.597,0.407
02M615_White,02M615,White,3,,3,,3,,,,4,,
02M630_Asian,02M630,Asian,36,0.00826,36,0.972,36,1.0,133,0.789,46,0.761,0.14600000000000002
02M630_Black,02M630,Black,53,0.00643,53,0.943,53,0.962,188,0.628,49,0.796,0.29999999999999993
02M630_Hispanic or Latinx,02M630,Hispanic,136,0.0073,136,0.963,136,0.978,603,0.698,166,0.777,0.23299999999999998
02M630_White,02M630,White,98,0.00859,98,0.98,98,0.99,,,108,0.694,0.12099999999999989
02M655_Asian,02M655,Asian,11,,11,,11,,18,0.278,5,,
02M655_Black,02M655,Black,19,0.0037099999999999998,19,0.632,19,0.737,91,0.341,14,,0.261
02M655_Hispanic or Latinx,02M655,Hispanic,46,0.00316,46,0.717,46,0.804,240,0.354,52,0.5,0.40099999999999997
02M655_White,02M655,White,9,,9,,9,,,,5,,
03M291_Asian,03M291,Asian,7,,7,,7,,28,0.714,9,,
03M291_Black,03M291,Black,12,,12,,12,,51,0.627,3,,
03M291_Hispanic or Latinx,03M291,Hispanic,19,0.00788,19,1.0,19,1.0,125,0.56,26,0.846,0.21200000000000008
03M291_White,03M291,White,64,0.0091,64,1.0,64,1.0,,,61,0.885,0.08999999999999997
03M307_Asian,03M307,Asian,,,,,,,8,,2,,
03M307_Black,03M307,Black,24,0.00375,24,1.0,24,1.0,87,0.46,22,0.864,0.625
03M307_Hispanic or Latinx,03M307,Hispanic,42,0.00415,42,0.857,42,0.952,220,0.505,45,0.578,0.442
03M307_White,03M307,White,5,,5,,5,,,,3,,
03M402_Asian,03M402,Asian,1,,1,,1,,5,,,,
03M402_Black,03M402,Black,5,,5,,5,,67,0.284,17,0.529,
03M402_Hispanic or Latinx,03M402,Hispanic,31,0.00312,31,0.871,31,0.903,271,0.314,34,0.529,0.5589999999999999
03M402_White,03M402,White,,,,,,,,,4,,
03M403_Asian,03M403,Asian,1,,1,,1,,5,,1,,
03M403_Black,03M403,Black,27,0.00488,27,0.852,27,0.926,91,0.231,19,0.737,0.364
03M403_Hispanic or Latinx,03M403,Hispanic,66,0.0049,66,1.0,66,1.0,304,0.316,81,0.704,0.51
03M403_White,03M403,White,4,,4,,4,,,,4,,
03M415_Asian,03M415,Asian,1,,1,,1,,2,,,,
03M415_Black,03M415,Black,22,0.0051600000000000005,22,0.955,22,0.955,103,0.476,35,0.714,0.43899999999999995
03M415_Hispanic or Latinx,03M415,Hispanic,42,0.00663,42,1.0,42,1.0,158,0.506,38,0.684,0.3370000000000001
03M415_White,03M415,White,,,,,,,,,3,,
03M417_Asian,03M417,Asian,5,,5,,5,,18,0.556,11,,
03M417_Black,03M417,Black,15,0.00612,15,1.0,15,1.0,70,0.657,9,,0.388
03M417_Hispanic or Latinx,03M417,Hispanic,53,0.00489,53,0.943,53,0.981,214,0.509,31,0.871,0.45399999999999996
03M417_White,03M417,White,22,0.006770000000000001,22,0.909,22,1.0,,,44,0.955,0.23199999999999998
03M479_Asian,03M479,Asian,41,0.007909999999999999,41,0.927,41,1.0,176,0.881,59,0.864,0.13600000000000012
03M479_Black,03M479,Black,45,0.006509999999999999,45,0.956,45,1.0,171,0.819,53,0.925,0.30500000000000005
03M479_Hispanic or Latinx,03M479,Hispanic,91,0.006670000000000001,91,0.956,91,0.989,452,0.799,107,0.822,0.2889999999999999
03M479_White,03M479,White,142,0.008440000000000001,142,1.0,142,1.0,,,126,0.778,0.15599999999999992
03M485_Asian,03M485,Asian,97,0.00891,97,0.979,97,0.99,436,0.876,115,0.843,0.08800000000000008
03M485_Black,03M485,Black,58,0.00735,58,0.948,58,0.983,253,0.874,41,0.902,0.21299999999999997
03M485_Hispanic or Latinx,03M485,Hispanic,86,0.0077800000000000005,86,0.953,86,0.988,395,0.851,79,0.747,0.17499999999999993
03M485_White,03M485,White,193,0.00882,193,0.984,193,0.99,,,188,0.782,0.10199999999999998
